rank,phase,split,signal_kind,sigma_strategy,gmm_components,single_sigma_index,smoothing_sigma,micro_auc,macro_auc,clip_auc
325,val_sweep,val,log_density,max,,,10,0.5,0.9985201449358163,0.5
326,val_sweep,val,log_density,max,,,15,0.5,0.9985201449358163,0.5
327,val_sweep,val,log_density,max,,,20,0.5,0.9985201449358163,0.5
328,val_sweep,val,log_density,gmm,1,,0,0.5,0.9985201449358163,0.5
329,val_sweep,val,log_density,gmm,1,,1,0.5,0.9985201449358163,0.5
330,val_sweep,val,log_density,gmm,1,,3,0.5,0.9985201449358163,0.5
331,val_sweep,val,log_density,gmm,1,,5,0.5,0.9985201449358163,0.5
332,val_sweep,val,log_density,gmm,1,,7,0.5,0.9985201449358163,0.5
333,val_sweep,val,log_density,gmm,1,,10,0.5,0.9985201449358163,0.5
334,val_sweep,val,log_density,gmm,1,,15,0.5,0.9985201449358163,0.5
335,val_sweep,val,log_density,gmm,1,,20,0.5,0.9985201449358163,0.5
336,val_sweep,val,log_density,gmm,3,,0,0.5,0.9985201449358163,0.5
337,val_sweep,val,log_density,gmm,3,,1,0.5,0.9985201449358163,0.5
338,val_sweep,val,log_density,gmm,3,,3,0.5,0.9985201449358163,0.5
339,val_sweep,val,log_density,gmm,3,,5,0.5,0.9985201449358163,0.5
340,val_sweep,val,log_density,gmm,3,,7,0.5,0.9985201449358163,0.5
341,val_sweep,val,log_density,gmm,3,,10,0.5,0.9985201449358163,0.5
342,val_sweep,val,log_density,gmm,3,,15,0.5,0.9985201449358163,0.5
343,val_sweep,val,log_density,gmm,3,,20,0.5,0.9985201449358163,0.5
344,val_sweep,val,log_density,gmm,5,,0,0.5,0.9985201449358163,0.5
345,val_sweep,val,log_density,gmm,5,,1,0.5,0.9985201449358163,0.5
346,val_sweep,val,log_density,gmm,5,,3,0.5,0.9985201449358163,0.5
347,val_sweep,val,log_density,gmm,5,,5,0.5,0.9985201449358163,0.5
348,val_sweep,val,log_density,gmm,5,,7,0.5,0.9985201449358163,0.5
349,val_sweep,val,log_density,gmm,5,,10,0.5,0.9985201449358163,0.5
350,val_sweep,val,log_density,gmm,5,,15,0.5,0.9985201449358163,0.5
351,val_sweep,val,log_density,gmm,5,,20,0.5,0.9985201449358163,0.5
352,val_sweep,val,score_norm,gmm,1,,7,0.5,0.9985201449358162,0.5
,locked_test,test,score_norm,single_sigma,,0,0,0.7732611232100861,0.8133228812717351,0.772764467709442
