checkpoint,gmm_components,normal_holdout_p95,normal_holdout_score,normal_holdout_std,normal_num_clips,rank,sigma_strategy,signal_kind,single_sigma_index
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0800.pt,5,0.0009238802595064044,0.0006014544051140547,0.00023119017714634538,267,33,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0625.pt,5,0.0009338486706838012,0.0006064101471565664,0.00023017148487269878,267,34,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0400.pt,5,0.0009060798329301178,0.0006192046566866338,0.00018399990221951157,267,35,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0700.pt,5,0.0009633030276745558,0.0006228135316632688,0.0002345988032175228,267,36,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0925.pt,5,0.0009299925877712667,0.0006268508732318878,0.00022788194473832846,267,37,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0750.pt,5,0.0009597960161045194,0.0006272792816162109,0.00022810346854384989,267,38,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0975.pt,5,0.0009280101512558758,0.0006520102033391595,0.00021171692060306668,267,39,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0900.pt,5,0.0009540289174765348,0.0006534113781526685,0.000213474384509027,267,40,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0850.pt,5,0.0009857368422672153,0.0006655058241449296,0.00023162241268437356,267,41,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0875.pt,5,0.0010116624180227518,0.0006790902116335928,0.0002493585052434355,267,42,single_sigma,score_norm,0
