clip_auc,gmm_components,macro_auc,micro_auc,normal_holdout_p95,normal_holdout_score,normal_holdout_std,normal_num_clips,phase,rank,sigma_strategy,signal_kind,single_sigma_index,smoothing_sigma,split
,,,,-0.3572499454021454,-1.086763620376587,0.6914901733398438,267,val_holdout_sweep,24,single_sigma,log_density,14,,val
,,,,-0.35621678829193115,-1.0856467485427856,0.6914748549461365,267,val_holdout_sweep,25,single_sigma,log_density,15,,val
,,,,8.277516627686055e-08,6.730012813704889e-08,8.708827436976208e-09,267,val_holdout_sweep,26,single_sigma,score_norm,0,,val
,,,,0.00037826941115781665,0.0003075333370361477,3.9803209801902995e-05,267,val_holdout_sweep,27,single_sigma,score_norm,1,,val
,,,,0.0014908065786585212,0.001211959170177579,0.0001568895677337423,267,val_holdout_sweep,28,single_sigma,score_norm,2,,val
,,,,0.0033377408981323242,0.002713284222409129,0.0003513010451570153,267,val_holdout_sweep,29,single_sigma,score_norm,3,,val
,,,,0.005919064395129681,0.004811456892639399,0.0006230702274478972,267,val_holdout_sweep,30,single_sigma,score_norm,4,,val
,,,,0.009234818629920483,0.007506432011723518,0.0009722281829454005,267,val_holdout_sweep,31,single_sigma,score_norm,5,,val
,,,,0.013285043649375439,0.010798175819218159,0.0013988054124638438,267,val_holdout_sweep,32,single_sigma,score_norm,6,,val
,,,,0.018069788813591003,0.01468665897846222,0.0019028311362490058,267,val_holdout_sweep,33,single_sigma,score_norm,7,,val
,,,,0.020829444751143456,0.016929257661104202,0.0021935822442173958,267,val_holdout_sweep,34,median,score_norm,,,val
,,,,0.02358909696340561,0.019171858206391335,0.002484333235770464,267,val_holdout_sweep,35,single_sigma,score_norm,8,,val
,,,,0.028542861342430115,0.02319497801363468,0.003007191698998213,267,val_holdout_sweep,36,mean,score_norm,,,val
,,,,0.029843030497431755,0.024253759533166885,0.003143338719382882,267,val_holdout_sweep,37,single_sigma,score_norm,9,,val
,,,,0.036831650882959366,0.02993236854672432,0.003879874013364315,267,val_holdout_sweep,38,single_sigma,score_norm,10,,val
,,,,0.04455501213669777,0.03620767593383789,0.004693964030593634,267,val_holdout_sweep,39,single_sigma,score_norm,11,,val
,,,,0.053013186901807785,0.04307969659566879,0.00558563182130456,267,val_holdout_sweep,40,single_sigma,score_norm,12,,val
,,,,0.06220627576112747,0.05054846033453941,0.006554901134222746,267,val_holdout_sweep,41,single_sigma,score_norm,13,,val
,,,,0.0721343532204628,0.05861397087574005,0.007601792924106121,267,val_holdout_sweep,42,single_sigma,score_norm,14,,val
,,,,0.08279750496149063,0.06727628409862518,0.00872633047401905,267,val_holdout_sweep,43,max,score_norm,,,val
,,,,0.08279750496149063,0.06727628409862518,0.00872633047401905,267,val_holdout_sweep,44,single_sigma,score_norm,15,,val
0.7709641167102632,1,0.8157008127644261,0.7713651278181309,,,,,locked_test,,gmm,score_norm,,20.0,test
