checkpoint,gmm_components,normal_holdout_p95,normal_holdout_score,normal_holdout_std,normal_num_clips,rank,sigma_strategy,signal_kind,single_sigma_index
argus stream A\outputs\avenue_stream_a_smoke_v2\checkpoints\stream_a\best_holdout.pt,5,5.159460414461137e-09,4.536115927322726e-09,3.7608252623222427e-10,267,1,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_smoke_v2\checkpoints\stream_a\epochs\epoch_0002.pt,5,5.159460414461137e-09,4.536115927322726e-09,3.7608252623222427e-10,267,2,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_smoke_v2\checkpoints\stream_a\last.pt,5,5.159460414461137e-09,4.536115927322726e-09,3.7608252623222427e-10,267,3,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_smoke_v2\checkpoints\stream_a\epochs\epoch_0001.pt,5,5.270664793499691e-09,4.6001638054349314e-09,3.995618835794801e-10,267,4,single_sigma,score_norm,0
